member_id,Agente,Email,Data,Status,Time,Canal,Contrato
a1R1L000008eTNNUA2,Warwick Steiger,warwick.steiger@casedisponibilidade.br,2022-02-02,Férias,Time2,Chat,CLT
a1R3j0000043rzdEAA,Hathcock Bias,hathcock.bias@casedisponibilidade.br,2022-02-01,Ativo,Time1,Chat,CLT
a1R3j000002b8bGEAQ,Callender Bradshaw,callender.bradshaw@casedisponibilidade.br,2022-02-24,Ativo,Time2,Chat,CLT
a1R3j000002bBodEAE,Duran Holland,duran.holland@casedisponibilidade.br,2022-02-25,Ativo,Time3,Chat,CLT
a1R3j000002b8arEAA,Pape Stock,pape.stock@casedisponibilidade.br,2022-02-05,Ativo,Time2,Chat,CLT
a1R3j000002bCoYEAU,Gales Warner,gales.warner@casedisponibilidade.br,2022-02-10,Ativo,Time1,Chat,CLT
a1R3j000003gHPNEA2,Strong Chester,strong.chester@casedisponibilidade.br,2022-02-18,Ativo,Time1,Chat,CLT
a1R3j0000043oF0EAI,Hudson Lao,hudson.lao@casedisponibilidade.br,2022-02-18,Ativo,Time1,Chat,CLT
a1R1L000008dS6VUAU,Pinson Raphael,pinson.raphael@casedisponibilidade.br,2022-02-20,Ativo,Time2,Chat,CLT
a1R3j0000043oECEAY,Bourgeois Girard,bourgeois.girard@casedisponibilidade.br,2022-02-08,Ativo,Time1,Chat,CLT
a1R3j000003na8SEAQ,Schofield Thibault,schofield.thibault@casedisponibilidade.br,2022-02-06,Ativo,Time1,Chat,CLT
a1R3j0000043rziEAA,Latour Clower,latour.clower@casedisponibilidade.br,2022-02-09,Ativo,Time1,Chat,CLT
a1R3j000003ndBgEAI,Halliburton Eden,halliburton.eden@casedisponibilidade.br,2022-02-06,Ativo,Time1,Chat,CLT
a1R3j000003nb4IEAQ,Lazo Chavira,lazo.chavira@casedisponibilidade.br,2022-02-07,Ativo,Time1,Chat,CLT*
a1R3j000003gEBdEAM,Thorton Clouse,thorton.clouse@casedisponibilidade.br,2022-02-03,Ativo,Time2,Chat,CLT
a1R1L000008dfbPUAQ,Nakamura Counts,nakamura.counts@casedisponibilidade.br,2022-02-24,Ativo,Time2,Chat,CLT
a1R3j000003gHKfEAM,Swan Calabro,swan.calabro@casedisponibilidade.br,2022-02-10,Ativo,Time1,Chat,CLT
a1R3j0000043oEMEAY,Cline Harlan,cline.harlan@casedisponibilidade.br,2022-02-20,Ativo,Time2,Chat,CLT
